True Values,Predictions,error,close,open,gap_open,day_of_week,week_of_year,month_of_year
8034.0,8036.125500000006,-2.125500000005559,8034.0,8026.5,11.050000000000182,1,24,6
11954.55,11967.914000000004,-13.364000000005035,11954.55,11967.3,51.19999999999891,4,47,11
8164.35,8157.826000000005,6.5239999999957945,8164.35,8153.15,14.799999999999272,1,49,12
10307.6,10341.767250000003,-34.16725000000224,10307.6,10332.7,103.25,3,48,11
18372.25,18435.782249999997,-63.532249999996566,18372.25,18439.9,157.15000000000146,2,42,10
21440.05,21431.947250000005,8.102749999994558,21440.05,21414.2,-63.04999999999927,3,3,1
11479.4,11481.616499999993,-2.216499999993175,11479.4,11463.65,-117.85000000000036,3,13,3
14218.45,14238.81674999997,-20.366749999970125,14218.45,14219.15,-179.5500000000011,3,16,4
8785.6,8789.572750000005,-3.972750000004453,8785.6,8796.35,-8.350000000000364,4,35,9
10076.6,10079.836250000028,-3.236250000027212,10076.6,10063.25,42.649999999999636,3,30,7
8578.9,8608.766,-29.865999999999985,8578.9,8623.9,21.600000000000364,0,30,7
16119.6,16105.39825000002,14.201749999980166,16119.6,16078.0,-288.89999999999964,2,10,3
8855.4,8805.038750000003,50.36124999999629,8855.4,8831.4,22.69999999999891,0,8,2
11324.7,11373.41300000001,-48.71300000000883,11324.7,11392.85,56.850000000000364,0,30,7
7419.6,7438.186749999996,-18.586749999995845,7419.6,7411.45,-1.3500000000003638,3,5,2
14833.85,14726.28400000001,107.5659999999898,14833.85,14768.55,-38.75,1,12,3
8254.5,8242.862500000007,11.637499999993452,8254.5,8240.3,-14.450000000000728,4,20,5
8869.9,8862.60949999999,7.29050000001007,8869.9,8873.35,11.600000000000364,3,38,9
22232.9,22228.825999999965,4.074000000036904,22232.9,22231.2,-75.54999999999927,2,19,5
8203.9,8189.64924999999,14.250750000009248,8203.9,8200.8,4.449999999998909,2,1,1
10331.6,10354.10225000001,-22.502250000010463,10331.6,10329.25,8.0,1,47,11
8048.1,7986.652000000017,61.44799999998304,8048.1,8009.55,-116.84999999999945,0,41,10
10254.3,10249.661750000017,4.638249999981781,10254.3,10271.3,41.5,4,10,3
10661.85,10677.038000000002,-15.18800000000192,10661.85,10688.7,230.25,2,42,10
14997.0,15008.748750000013,-11.748750000013388,14997.0,14977.95,14.800000000001091,4,9,3
14721.75,14724.15275000001,-2.402750000010201,14721.75,14712.45,147.5,2,12,3
11348.65,11373.109750000018,-24.459750000018175,11348.65,11378.55,84.25,1,37,9
8436.5,8437.146250000014,-0.6462500000143336,8436.5,8439.2,84.55000000000109,2,28,7
10955.95,10940.149000000007,15.80099999999402,10955.95,10944.25,189.39999999999964,4,51,12
19550.2,19542.812999999987,7.387000000013359,19550.2,19564.65,-13.0,1,36,9
14343.45,14286.624499999969,56.82550000003175,14343.45,14326.35,-4.899999999999636,4,16,4
11420.55,11460.265000000023,-39.71500000002379,11420.55,11464.95,93.35000000000036,0,38,9
10685.3,10708.210499999985,-22.910499999985404,10685.3,10732.35,80.60000000000036,0,27,7
9101.8,9270.023500000001,-168.22350000000188,9101.8,9285.4,320.10000000000036,1,12,3
24829.65,24839.0355,-9.38550000000032,24829.65,24845.4,13.55000000000291,4,34,8
11691.55,11636.36949999999,55.18050000000949,11691.55,11665.2,9.600000000000364,0,14,4
